ID Oddziału;Nazwa Oddziału;Typ Oddziału;Szpital (Nazwa);Miasto;ID Szpitala;Liczba Lekarzy na Oddziale;Data Utworzenia
dept_2_1;Oddział Chirurgiczny;Zabiegowy;WOJEWÓDZKI SZPITAL SPECJALISTYCZNY W BIAŁEJ PODLASKIEJ;Biała Podlaska;hosp_2;1;2026-05-09T06:43:35.542Z
dept_2_2;Oddział Neurochirurgiczny;Zabiegowy;WOJEWÓDZKI SZPITAL SPECJALISTYCZNY W BIAŁEJ PODLASKIEJ;Biała Podlaska;hosp_2;2;2026-05-09T06:43:35.542Z
dept_2_3;Oddział Urologiczny;Zabiegowy;WOJEWÓDZKI SZPITAL SPECJALISTYCZNY W BIAŁEJ PODLASKIEJ;Biała Podlaska;hosp_2;0;2026-05-09T06:43:35.542Z
dept_2_4;Pododdział Chirurgii Onkologicznej;Zabiegowy;WOJEWÓDZKI SZPITAL SPECJALISTYCZNY W BIAŁEJ PODLASKIEJ;Biała Podlaska;hosp_2;1;2026-05-09T06:43:35.542Z
dept_2_5;Blok operacyjny;Zabiegowy;WOJEWÓDZKI SZPITAL SPECJALISTYCZNY W BIAŁEJ PODLASKIEJ;Biała Podlaska;hosp_2;1;2026-05-09T06:43:35.542Z
dept_2_6;Sterylizatornia;Zabiegowy;WOJEWÓDZKI SZPITAL SPECJALISTYCZNY W BIAŁEJ PODLASKIEJ;Biała Podlaska;hosp_2;1;2026-05-09T06:43:35.542Z
dept_30_1;Oddział Chirurgii Ogólnej;Zabiegowy;NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ HUMANA MEDICA OMEDA;Białystok;hosp_30;1;2026-04-11T06:43:35.542Z
dept_30_2;Blok operacyjny;Zabiegowy;NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ HUMANA MEDICA OMEDA;Białystok;hosp_30;1;2026-04-11T06:43:35.542Z
dept_30_3;Sterylizatornia;Zabiegowy;NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ HUMANA MEDICA OMEDA;Białystok;hosp_30;0;2026-04-11T06:43:35.542Z
dept_31_1;Oddział Chirurgii Onkologicznej i Chirurgii Ogólnej;Zabiegowy;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ MINISTERSTWA SPRAW WEWNĘTRZNYCH I ADMINISTRACJI W BIAŁYMSTOKU IM. MARIANA ZYNDRAMA-KOŚCIAŁKOWSKIEGO;Białystok;hosp_31;1;2026-05-10T06:43:35.542Z
